Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d,drone_x,drone_y,drone_z
17412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02214,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1014,5077.34,13.1278,8.55304,-12.8988,1144.46,748.572,912.869,1280.89,765135,4.8721e-13,267612,15.8079,87319.6,500,7.29575,13.2957,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
17812.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.0288,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.0958,5075.98,13.0965,8.5687,-12.9362,1146.61,748.539,912.825,1280.83,765708,4.8721e-13,268304,16.1706,87322,500,7.29706,13.2971,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
18212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.03517,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.0849,5074.98,13.0671,8.58252,-12.969,1148.61,748.475,912.739,1280.69,766373,4.8721e-13,268931,16.492,87326.5,500,7.29831,13.2983,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
18612.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02799,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.068,5074.09,13.0395,8.5944,-12.9973,1146.11,748.377,912.607,1280.48,765597,4.8721e-13,268034,16.835,87333.6,500,7.2969,13.2969,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
19012.4,0,1.97943,-9.84955,-0.887659,0,0,0,2.0271,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.0601,5072.96,13.0137,8.60684,-13.0273,1145.76,748.331,912.545,1280.39,765444,4.8721e-13,267885,17.164,87336.9,500,7.29672,13.2967,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
19412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.0271,-10.0952,-0.820745,10.0483,0,0,0,-0,1.5708,-0,1.5708,82.0543,5071.99,12.9896,8.61882,-13.056,1144.95,712.915,877.082,1244.81,730047,4.8721e-13,248382,17.4314,87339.3,500,7.29854,13.2985,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.00299679,0.00358606,-2.12689
19812.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.13237,-10.0527,-0.316047,10.0927,0,0,0,-0,1.5708,-0,1.5708,85.5184,5014.76,12.9837,9.21169,-14.5612,1192.97,739.69,910.59,1293.41,824259,4.8721e-13,281182,35.7081,85897.5,500,7.32203,13.322,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.0597452,0.0724331,-1.6263
20212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.1517,-9.96309,-0.271387,10.2242,0,0,0,-0,1.5708,-0,1.5708,79.6518,5119.96,12.9434,8.23857,-12.1481,1104.15,583.353,741.456,1095.61,650181,4.8721e-13,174440,7.59002,88346.3,500,7.36736,13.3674,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.182587,0.220314,-1.25147
20812.4,0,1.97943,-9.84955,-0.887659,0,0,0,2.09374,-9.86131,-0.400344,10.3886,0,0,0,-0,1.5708,-0,1.5708,85.4537,4947.98,12.963,9.1897,-14.6205,1069.01,456.95,625.038,1001.55,540837,4.8721e-13,123471,31.3591,85924.3,500,7.41885,13.4188,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.472525,0.56283,-0.780833
21012.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02971,-9.79953,-0.556272,10.6306,0,0,0,-0,1.5708,-0,1.5708,92.6728,4627.01,13.0426,10.2675,-18.4605,997.397,309.501,488.006,887.856,465323,4.8721e-13,75213.9,71.8108,82957.7,500,7.58779,13.5878,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.612457,0.725744,-0.638049
21412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02025,-9.72945,-0.622301,10.9009,0,0,0,-0,1.5708,-0,1.5708,100.027,4258.73,13.1524,11.2291,-23.7573,923.273,266.101,454.576,876.76,428786,4.8721e-13,53212.1,118.558,79989.3,500,7.78583,13.7858,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0.87087,1.0224,-0.61395
21812.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.00593,-9.70157,-1.50886,11.1096,0,0,0,-0,1.5708,-0,1.5708,107.416,3752.15,13.2744,11.9031,-32.5639,861.764,-86.4811,112.197,557.236,614418,4.8721e-13,69540.5,155.132,77061.2,500,7.96444,13.9644,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,1.06646,1.24485,-0.611115
