Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
13241,0,1.97943,-9.84955,-0.887659,1.99598,-9.73899,-0.84528,1.99526,-9.74114,-0.846469,4.19584,-0.000461695,-0.000310955,0.00707184,-0,1.5708,-0,1.5708,36.011,5081.49,12.5449,1.98794,-2.15668,477.201,196.161,373.763,771.594,558.173,8.80019,450.757,7.96098,3.06614,35,1.0957,7.0957,1.21875e-07,0.0155568,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
13651,0,1.97943,-9.84955,-0.887659,1.992,-9.74191,-0.83296,1.99104,-9.74349,-0.836634,4.1215,-0.00288691,-0.00141292,0.0128065,-0,1.5708,-0,1.5708,36.511,5157.5,12.5818,2.03674,-2.2114,473.527,175.971,359.347,770.109,159.925,1.53304,83.963,10.2901,6.84948,35,1.02234,7.02234,2.76674e-07,0.00270813,-3.14149,0,-0,-3.14159,-1,480,180,360,-1
14061,0,1.97943,-9.84955,-0.887659,1.99155,-9.74059,-0.840392,1.99033,-9.74206,-0.833512,4.07868,-0.0024506,0.000155693,0.0105114,-0,1.5708,-0,1.5708,36.2358,5118.79,12.7043,1.98817,-2.15562,474.667,168.878,353.083,765.703,193.159,2.06432,124.754,10.2846,4.5819,35,0.974038,6.97404,6.15935e-06,0.00303114,-3.13956,0,-0,-3.14159,-1,480,180,360,-1
14451,0,1.97943,-9.84955,-0.887659,1.99388,-9.73674,-0.852407,1.99214,-9.73613,-0.847774,4.05926,-0.000353322,0.0038354,-0.00206633,-0,1.5708,-0,1.5708,35.561,5109.55,12.8344,1.89868,-2.05112,475.086,171.535,353.543,761.242,136.865,4.87446,72.5632,9.0574,0.944204,35,0.946977,6.94698,1.91001e-05,0.00830428,-3.13929,0,-0,-3.14159,-1,480,180,360,-1
14881,0,1.97943,-9.84955,-0.887659,1.99212,-9.73156,-0.848859,1.99187,-9.73285,-0.8616,4.04724,-0.000499837,0.00580848,-0.00339802,-0,1.5708,-0,1.5708,35.5561,4808.66,12.9822,1.87314,-2.0314,475.968,175.458,358.155,767.395,44.3113,8.06813,0.56557,8.8703,0.927891,35,0.931321,6.93132,4.57901e-05,0.0138756,-3.13829,0,-0,-3.14159,-1,480,180,360,-1
15351,0,1.97943,-9.84955,-0.887659,1.99175,-9.73273,-0.853087,1.99581,-9.73093,-0.852139,4.04014,2.21928e-05,0.00388569,-0.00242778,-0,1.5708,-0,1.5708,35.5561,4779.16,13.0084,1.86908,-2.02768,477.44,181.898,365.019,775.21,42.4808,8.62835,0.419004,8.96665,0.927891,35,0.922152,6.92215,5.18837e-05,0.0148473,-3.1381,0,-0,-3.14159,-1,480,180,360,-1
15751,0,1.97943,-9.84955,-0.887659,1.99216,-9.73404,-0.851809,1.99437,-9.7336,-0.853271,4.03631,-0.000282678,0.00151558,-0.00125971,-0,1.5708,-0,1.5708,35.5561,4779.16,13.0084,1.86908,-2.02768,476.773,183.097,366.281,776.614,73.8344,8.62835,0.698644,8.99232,0.927891,35,0.920797,6.9208,5.18837e-05,0.0148473,-3.1381,0,-0,-3.14159,-1,480,180,360,-1
16061,0,1.97943,-9.84955,-0.887659,1.99232,-9.73251,-0.845217,1.99237,-9.73243,-0.846965,4.03483,-0.000554587,0.00212733,0.00285796,-0,1.5708,-0,1.5708,35.5561,4779.16,13.0084,1.86908,-2.02768,475.94,186.667,370.02,780.73,162.784,8.62835,101.175,9.06067,0.927891,35,0.9172,6.9172,5.18837e-05,0.0148473,-3.1381,0,-0,-3.14159,-1,480,180,360,-1
16451,0,1.97943,-9.84955,-0.887659,1.99161,-9.73569,-0.838094,1.99167,-9.73485,-0.839453,4.03111,-0.000892878,-7.52367e-05,0.00736142,-0,1.5708,-0,1.5708,35.4365,5079.54,13.1312,1.84443,-1.98886,473.703,179.468,362.26,771.716,139.779,4.13451,79.3461,8.61333,0.571718,35,0.916346,6.91635,1.49812e-05,0.00698729,-3.13945,0,-0,-3.14159,-1,480,180,360,-1
16840,0,1.97943,-9.84955,-0.887659,1.99037,-9.73646,-0.857819,1.99054,-9.73621,-0.853243,4.02998,-0.0014611,-0.000985924,-0.00413796,-0,1.5708,-0,1.5708,35.675,5218.77,13.2208,1.85801,-2.00045,472.972,170.821,354.843,767.053,243.802,2.74502,183.3,8.86578,1.36707,35,0.916425,6.91642,8.80624e-06,0.00442586,-3.1396,0,-0,-3.14159,-1,480,180,360,-1
17250,0,1.97943,-9.84955,-0.887659,1.99051,-9.73666,-0.865606,1.99015,-9.73709,-0.866734,4.03122,-0.00131445,-0.0012675,-0.0118417,-0,1.5708,-0,1.5708,35.6311,5124.1,13.381,1.83102,-1.97195,472.809,173.921,357.617,769.098,199.017,5.5259,103.854,8.32883,1.19502,35,0.918399,6.9184,1.9029e-05,0.00956375,-3.1396,0,-0,-3.14159,-1,480,180,360,-1
17661,0,1.97943,-9.84955,-0.887659,1.98787,-9.73515,-0.847993,1.98813,-9.73546,-0.849323,4.0314,-0.00240333,0.00014066,0.00236568,-0,1.5708,-0,1.5708,35.7296,5134.55,13.4365,1.83359,-1.97462,472,183.011,367.287,780.067,260.861,6.51907,181.178,8.40506,1.59681,35,0.916796,6.9168,2.25853e-05,0.0113512,-3.1396,0,-0,-3.14159,-1,480,180,360,-1
18061,2,1.97943,-9.84955,-0.887659,1.98796,-9.73595,-0.836054,1.98738,-9.73566,-0.838128,4.02928,-0.00225977,-6.84158e-05,0.00953176,-0,1.5708,-0,1.5708,35.8524,5140.98,13.475,1.84076,-1.98275,471.659,178.389,363.377,777.752,256.836,3.23194,139.301,8.5641,8.60121,40,0.915339,53.9153,1.06563e-05,0.00535565,-3.1396,0,-0,-3.14159,-1,480,180,360,-1
18451,2,1.97943,-9.84955,-0.887659,1.99078,-9.73811,-0.85177,1.99047,-9.73729,-0.846811,4.0459,0.000321349,-0.00129054,0.000695728,-0,1.5708,-0,1.5708,37.3244,5117.37,13.5498,1.9782,-2.14396,472.668,163.697,355.618,785.52,558.703,2.7704,373.49,11.0112,29.4572,45,0.928863,53.9289,8.90402e-06,0.004475,-3.1396,0,-0,-3.14159,-1,480,180,360,-1
18851,2,1.97943,-9.84955,-0.887659,1.98986,-9.72675,-0.839167,1.98928,-9.72822,-0.840937,4.14025,-0.000436238,0.00520439,0.00468809,-0,1.5708,-0,1.5708,40.1884,5068.22,13.6807,2.25772,-2.47854,475.637,165.482,368.393,822.913,556.511,6.50915,281.592,15.794,48.1336,50,1.00098,54.001,4.11767e-05,0.0108646,-3.1378,0,-0,-3.14159,-1,480,180,360,-1
19291,2,1.97943,-9.84955,-0.887659,1.99556,-9.7093,-0.827964,1.99641,-9.71989,-0.827494,4.35655,0.00397822,0.0151898,0.0120581,-0,1.5708,-0,1.5708,42.2957,4652.21,14.0908,2.40977,-2.68827,478.02,166.68,371.667,830.836,597.926,5.52366,313.604,15.4155,80.6998,55,1.16818,54.1682,2.20432e-05,0.00948389,-3.13927,0,-0,-3.14159,-1,480,180,360,-1
19741,2,1.97943,-9.84955,-0.887659,1.98996,-9.71757,-0.834173,1.9975,-9.70938,-0.82946,4.68663,-0.000230968,0.0087375,0.00509147,-0,1.5708,-0,1.5708,46.3945,1256.95,14.5822,2.39782,-3.87701,481.351,163.792,374.183,845.46,773.229,4.38417,463.902,8.89413,92.555,60,1.45473,54.4547,1.46555e-05,0.00749979,-3.13964,0,-0,-3.14159,-1,480,180,360,-1
20061,2,1.97943,-9.84955,-0.887659,1.99212,-9.71218,-0.825356,1.99212,-9.71062,-0.825611,5.0492,-0.000352168,0.00925708,0.00861022,-0,1.5708,-0,1.5708,51.406,686.666,14.9589,2.34438,-7.39159,479.983,168.19,382.336,862.025,1134.91,3.35868,638.397,2.44984,92.3978,65,1.84942,54.8494,4.95382e-06,0.00587724,-3.14075,0,-0,-3.14159,-1,480,180,360,-1
20491,2,1.97943,-9.84955,-0.887659,1.98885,-9.66683,-0.858285,1.99271,-9.70945,-0.829627,5.61199,-0.00181991,0.0325855,-0.0126113,-0,1.5708,-0,1.5708,54.2631,4266.29,15.2029,3.55526,-4.26631,481.591,167.15,372.094,831.17,672.191,1.65268,311.452,14.5538,123.825,70,2.34886,55.3489,1.81652e-06,0.00285124,-3.14096,0,-0,-3.14159,-1,480,180,360,-1
20861,2,1.97943,-9.84955,-0.887659,1.99762,-9.68181,-0.840146,1.99406,-9.67124,-0.863272,6.09487,0.00348133,0.0241713,-0.00640124,-0,1.5708,-0,1.5708,59.9258,1151.45,15.0568,3.38524,-8.21654,483.124,157.333,361.953,820.303,1075.15,2.27774,514.04,2.1983,113.616,75,2.91638,55.9164,2.53297e-06,0.0039758,-3.14096,0,-0,-3.14159,-1,480,180,360,-1
