Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_pitch,relative_yaw,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
13652,0,1.97943,-9.84955,-0.887659,1.99323,-9.72649,-0.851836,1.99353,-9.72681,-0.851418,8.72078,-0.00219597,-0.0033928,-0.000828991,-0,1.5708,-0,1.5708,75.3491,7.2545e+08,13.7765,8.24217,-8.24219,469.163,168.338,345.376,741.942,330.553,2046.06,-nan,289399,1.54047e+06,75,8.09737,11.5974,0.0141388,-3.13542,-0,-3.14159,-1,480,180,360,-1
14042,0,1.97943,-9.84955,-0.887659,1.98903,-9.72616,-0.850345,1.98905,-9.72699,-0.85164,8.72122,-0.00464095,-0.00259253,-0.000494865,-0,1.5708,-0,1.5708,75.44,4.61655e+09,13.8106,8.24168,-8.24169,470.975,168.647,345.885,742.896,295.999,2090.71,-nan,297269,1.58547e+06,75,8.09807,11.5981,0.0139827,-3.13426,-0,-3.14159,-1,480,180,360,-1
14452,0,1.97943,-9.84955,-0.887659,1.99712,-9.7258,-0.855137,1.99739,-9.72634,-0.857574,8.72159,0.00172008,-0.00151736,-0.0037982,-0,1.5708,-0,1.5708,75.9044,2.60432e+08,13.6382,8.44888,-8.44894,468.491,166.548,344.883,744.354,378.615,2133.29,-nan,305142,1.63047e+06,75,8.09776,11.5978,0.0139829,-3.13601,-0,-3.14159,-1,480,180,360,-1
14852,0,1.97943,-9.84955,-0.887659,1.99471,-9.72547,-0.859383,1.99571,-9.72579,-0.861789,8.72184,1.16439e-05,-0.000747435,-0.00513757,-0,1.5708,-0,1.5708,75.4856,5.03428e+08,13.7123,8.31078,-8.31081,467.351,166.096,343.451,740.728,430.962,2175.66,-nan,313012,1.67547e+06,75,8.09757,11.5976,0.0139829,-3.13621,-0,-3.14159,-1,480,180,360,-1
15252,0,1.97943,-9.84955,-0.887659,1.99466,-9.72527,-0.857505,1.99539,-9.72541,-0.859906,8.72208,-0.000321888,-0.000306237,-0.00234444,-0,1.5708,-0,1.5708,75.4614,4.38416e+08,13.7589,8.2773,-8.27733,467.27,167.123,344.425,741.581,401.313,2218.04,-nan,320881,1.72047e+06,75,8.0974,11.5974,0.0139829,-3.13621,-0,-3.14159,-1,480,180,360,-1
15652,0,1.97943,-9.84955,-0.887659,1.99453,-9.72506,-0.855494,1.99519,-9.7251,-0.858003,8.72229,-0.00051423,-2.12775e-05,-2.44276e-05,-0,1.5708,-0,1.5708,75.4796,3.60846e+08,13.7971,8.25835,-8.25839,467.236,167.978,345.326,742.584,375.494,2260.41,-nan,328750,1.76547e+06,75,8.09726,11.5973,0.0139829,-3.13621,-0,-3.14159,-1,480,180,360,-1
16052,0,1.97943,-9.84955,-0.887659,1.99439,-9.72483,-0.85602,1.99422,-9.72485,-0.855808,8.72249,-0.000985051,0.000151244,0.00132397,-0,1.5708,-0,1.5708,75.4816,3.1857e+08,13.8279,8.24043,-8.24047,466.945,168.926,346.28,743.552,362.83,2302.79,-nan,336618,1.81047e+06,75,8.0972,11.5972,0.0139829,-3.13621,-0,-3.14159,-1,480,180,360,-1
16462,2,1.97943,-9.84955,-0.887659,1.99706,-9.72469,-0.853513,1.99627,-9.72466,-0.853768,8.72269,0.000726244,0.000233951,0.00242994,-0,1.5708,-0,1.5708,75.4887,9.91402e+08,13.8508,8.22832,-8.22833,467.722,169.741,347.112,744.424,25267.5,2345.16,-nan,368594,1.82394e+06,82,8.09714,10.5971,0.0139829,-3.13621,-0,-3.14159,-1,480,180,360,-1
16842,2,1.97943,-9.84955,-0.887659,1.99667,-9.72595,-0.882244,1.99602,-9.72557,-0.879155,8.66897,0.000562257,-0.000492336,-0.0152458,-0,1.5708,-0,1.5708,60.7028,9.04899e+07,12.8926,5.71606,-5.71613,466.418,198.792,342.06,662.979,6740.1,2385.93,-nan,397878,1.84018e+06,89,8.05893,10.5589,0.013983,-3.13809,-0,-3.14159,-1,480,180,360,-1
17252,2,1.97943,-9.84955,-0.887659,1.99199,-9.76418,-0.864287,1.99257,-9.76428,-0.87474,8.4297,-0.00194369,-0.025224,-0.00621166,-0,1.5708,-0,1.5708,70.6629,2.21634e+06,13.3105,7.50011,-7.50519,472.212,182.42,353.491,736.688,4535.77,2419,-nan,427664,1.85893e+06,96,7.84426,10.3443,0.0108104,-3.13714,-0,-3.14159,-1,480,180,360,-1
17642,2,1.97943,-9.84955,-0.887659,1.99521,-9.76427,-0.827676,1.99489,-9.76987,-0.827747,8.17565,4.60558e-05,-0.0223401,0.0256394,-0,1.5708,-0,1.5708,80.1545,481.601,13.2637,3.2347,9.42211,479.74,186.907,386.924,834.963,3720.37,2443.3,-nan,447401,1.88041e+06,103,7.5955,10.0955,0.00727278,-3.13702,-0,-3.14159,-1,480,180,360,-1
18042,2,1.97943,-9.84955,-0.887659,1.98507,-9.75215,-0.819009,1.98558,-9.75783,-0.812221,8.1379,-0.00609562,-0.00843114,0.0284361,-0,1.5708,-0,1.5708,88.0467,553.564,12.7772,3.82047,10.0455,474.118,193.661,414.999,910.796,4621.35,2448.43,-nan,466718,1.90485e+06,110,7.53622,10.0362,-0.000843574,-3.13999,-0,-3.14159,-1,480,180,360,-1
18432,2,1.97943,-9.84955,-0.887659,1.98947,-9.74182,-0.813612,1.9887,-9.7433,-0.805664,8.37162,-0.00262945,0.00310083,0.0249832,-0,1.5708,-0,1.5708,94.5161,619.005,12.368,4.35316,10.7088,483.02,191.104,423.242,943.231,5153.07,2475.12,-nan,486773,1.93248e+06,117,7.72499,10.225,-0.00933556,-3.14023,-0,-3.14159,-1,480,180,360,-1
18832,2,1.97943,-9.84955,-0.887659,1.98173,-9.71115,-0.811129,1.9811,-9.71191,-0.806255,8.7328,-0.0068905,0.0229795,0.018407,-0,1.5708,-0,1.5708,99.8975,672.843,11.9654,4.81501,11.1654,485.1,165.694,400.404,926.155,3914.79,2528.71,-nan,508448,1.96353e+06,124,8.09687,10.5969,-0.0188985,-3.14023,-0,-3.14159,-1,480,180,360,-1
19232,2,1.97943,-9.84955,-0.887659,1.99634,-9.73377,-0.860483,1.99413,-9.7316,-0.858363,9.29961,0.00364057,0.00435636,-0.0204674,-0,1.5708,-0,1.5708,105.432,720.482,11.3434,5.28895,11.297,494.199,140.138,372.046,891.521,3859.98,2589.57,-nan,532845,1.99818e+06,131,8.68237,11.1824,-0.0214734,-3.14023,-0,-3.14159,-1,480,180,360,-1
19642,2,1.97943,-9.84955,-0.887659,1.99395,-9.68697,-0.831905,1.9958,-9.67867,-0.844547,10.0688,0.0034921,0.0358646,-0.00400304,-0,1.5708,-0,1.5708,113.68,796.246,10.7729,5.99968,11.8339,486.416,175.354,409.673,934.548,4041.45,2634.91,-nan,560259,2.03656e+06,138,9.29979,11.7998,-0.0160074,3.14077,-0,-3.14159,-1,480,180,360,-1
20042,2,1.97943,-9.84955,-0.887659,1.99138,-9.70919,-0.816937,1.99046,-9.69466,-0.820253,10.7846,-0.000521602,0.0144185,0.0134362,-0,1.5708,-0,1.5708,120.907,879.167,10.3595,6.72541,12.6907,482.322,175.522,405.244,919.822,3785.99,2686.67,-nan,592068,2.0789e+06,145,10.131,12.631,-0.0182732,3.1406,-0,-3.14159,-1,480,180,360,-1
20432,2,1.97943,-9.84955,-0.887659,1.99282,-9.67406,-0.849108,1.99234,-9.65852,-0.85411,11.7264,0.000907954,0.0323858,-0.0110264,-0,1.5708,-0,1.5708,128.394,967.541,9.91896,7.51649,13.5743,481.465,140.585,367.483,875.735,3431.29,2746.04,-nan,628392,2.12539e+06,152,10.9292,13.4292,-0.0209667,3.1406,-0,-3.14159,-1,480,180,360,-1
20842,2,1.97943,-9.84955,-0.887659,1.99717,-9.63956,-0.874032,1.99588,-9.62797,-0.872087,12.6029,0.00323575,0.0430105,-0.0205987,-0,1.5708,-0,1.5708,136.136,1059.32,9.3713,8.37812,14.4005,481.033,149.915,372.006,869.491,2801.9,2792.93,-nan,670521,2.17621e+06,159,11.8816,14.3816,-0.0165482,3.1406,-0,-3.14159,-1,480,180,360,-1
21232,2,1.97943,-9.84955,-0.887659,2.00069,-9.62594,-0.842203,1.99935,-9.62362,-0.854525,13.5867,0.0049936,0.0355626,-0.0022583,-0,1.5708,-0,1.5708,145.06,1167.43,8.67607,9.43237,15.3144,481.151,171.987,393.243,888.855,2593.67,2829.94,-nan,718223,2.23154e+06,166,12.7438,15.2438,-0.0130483,3.1406,-0,-3.14159,-1,480,180,360,-1
21632,2,1.97943,-9.84955,-0.887659,2.00406,-9.65159,-0.849206,2.00456,-9.64586,-0.848315,14.4948,0.00713541,0.0117198,0.00201431,-0,1.5708,-0,1.5708,153.251,1274.72,8.08841,10.4754,16.2772,481.871,171.379,389.492,878.065,2245.05,2866.47,-nan,772501,2.29159e+06,173,13.6932,16.1932,-0.0128786,3.1406,-0,-3.14159,-1,480,180,360,-1
22042,2,1.97943,-9.84955,-0.887659,2.001,-9.65615,-0.851797,2.00244,-9.67277,-0.850852,15.4095,0.004031,-0.00661671,-0.000198925,-0,1.5708,-0,1.5708,161.323,1385.31,7.46289,11.5798,17.237,478.965,165.806,379.733,858.929,1610.35,2903.01,-nan,834485,2.35657e+06,180,14.7332,17.2332,-0.0128786,3.1406,-0,-3.14159,-1,480,180,360,-1
22452,2,1.97943,-9.84955,-0.887659,2.00825,-9.60448,-0.84723,2.00885,-9.62711,-0.84827,16.3272,0.00713264,0.0299492,0.0017711,-0,1.5708,-0,1.5708,170.459,1510.9,6.55581,12.9299,18.1714,479.714,162.192,375.993,854.909,1152.39,2939.54,-nan,903259,2.42664e+06,187,15.6053,18.1053,-0.0128786,3.1406,-0,-3.14159,-1,480,180,360,-1
22852,2,1.97943,-9.84955,-0.887659,2.00142,-9.602,-0.832517,2.00319,-9.59454,-0.83697,17.3874,0.00151234,0.0430261,0.00978259,-0,1.5708,-0,1.5708,179.201,1623.9,5.58035,14.2505,18.8726,475.13,164.329,377.253,854.203,852.142,2968.53,-nan,979415,2.50203e+06,194,16.5015,19.0015,-0.0102018,3.1406,-0,-3.14159,-1,480,180,360,-1
23242,2,1.97943,-9.84955,-0.887659,1.99732,-9.63215,-0.839275,1.99718,-9.62703,-0.836947,18.4743,-0.00277779,0.011391,0.00734052,-0,1.5708,-0,1.5708,187.431,1732.35,4.64074,15.5621,19.5346,470.01,164.607,373.327,840.861,851.067,2987.24,-nan,1.06558e+06,2.58292e+06,201,17.641,20.141,-0.00653957,3.1406,-0,-3.14159,-1,480,180,360,-1
23632,2,1.97943,-9.84955,-0.887659,1.99124,-9.63391,-0.870795,1.99241,-9.62936,-0.864086,19.4957,-0.00546211,0.0063724,-0.0134099,-0,1.5708,-0,1.5708,194.497,1849.13,4.54042,16.6617,20.7723,474.414,172.12,375.963,832.572,629.218,2998.32,-nan,1.16234e+06,2.66954e+06,208,18.7756,21.2756,-0.00391522,-3.14154,-0,-3.14159,-1,480,180,360,-1
24052,2,1.97943,-9.84955,-0.887659,1.99848,-9.67214,-0.873872,1.99613,-9.65703,-0.875932,20.7572,-0.00117293,-0.0172755,-0.0175785,-0,1.5708,-0,1.5708,201.983,1968.41,4.10341,17.9275,21.8223,476.026,170.921,370.929,818.948,422.838,3009.04,-nan,1.27021e+06,2.76207e+06,215,19.9013,22.4013,-0.00378852,-3.14149,-0,-3.14159,-1,480,180,360,-1
24432,2,1.97943,-9.84955,-0.887659,1.99175,-9.69639,-0.864271,1.9915,-9.69293,-0.871101,21.7568,-0.0038808,-0.0377691,-0.00924488,-0,1.5708,-0,1.5708,210.044,2087.36,3.38052,19.3423,22.6683,475.395,174.731,371.176,811.214,338.76,3019.76,-nan,1.3906e+06,2.86071e+06,222,21.1003,23.6003,-0.00378852,-3.14149,-0,-3.14159,-1,480,180,360,-1
24842,2,1.97943,-9.84955,-0.887659,1.99507,-9.67974,-0.864343,1.99424,-9.66598,-0.864212,22.7648,-0.00108958,-0.0154323,-0.00284322,-0,1.5708,-0,1.5708,217.53,2210.39,3.43046,20.4791,24.0087,478.109,177.91,373.584,811.895,410.991,3030.48,-nan,1.52031e+06,2.96566e+06,229,21.9583,24.4583,-0.00378852,-3.14149,-0,-3.14159,-1,480,180,360,-1
